Level,Number,Name,Area (SF),Room Category,Room Type Description
Not Placed,1214,PROCEDURE ROOM,Not Placed,CLINICAL,Operating Room
Not Placed,1206,EQUIPMENT STORAGE,Not Placed,NON-CLINICAL,Storage - Equipment
Not Placed,1213,SCRUB,Not Placed,CLINICAL,Clean Core - OR
Not Placed,1210,FUTURE SCRUB,Not Placed,NON-CLINICAL,Shell Space
Not Placed,1211,O.R. SHELL,Not Placed,NON-CLINICAL,Shell Space
Not Placed,1205,EQUIPMENT ALCOVE,Not Placed,NON-CLINICAL,Storage - Equipment
Not Placed,1405,DETERGENT ROOM,Not Placed,CLINICAL,Decontamination
Not Placed,2274,OCT,Not Placed,CLINICAL,Exam Room
Not Placed,2273,SHELL,Not Placed,NON-CLINICAL,Shell Space
Not Placed,2278,BUSINESS OFFICE,Not Placed,NON-CLINICAL,Office
Not Placed,3130,TEAM STATION,Not Placed,CLINICAL,Nurse Station
Not Placed,3135,TRIAGE,Not Placed,CLINICAL,Exam Room
Not Placed,3142,SUB WAIT,Not Placed,CLINICAL,Waiting Area
Not Placed,3159,EXAM,Not Placed,CLINICAL,Exam Room
Not Placed,3128,EXAM,Not Placed,CLINICAL,Exam Room
Not Placed,3131,EXAM,Not Placed,CLINICAL,Exam Room
Not Placed,3132,EXAM,Not Placed,CLINICAL,Exam Room
Not Placed,3133,EXAM,Not Placed,CLINICAL,Exam Room
Not Placed,3146,PA ROOM,Not Placed,CLINICAL,Consultation Room
Not Placed,3136,EXAM,Not Placed,CLINICAL,Exam Room
Not Placed,3143,DICTATION (2),Not Placed,NON-CLINICAL,Office
Not Placed,3145,PA ROOM,Not Placed,CLINICAL,Consultation Room
Not Placed,3147,IOL/PENT,Not Placed,CLINICAL,Exam Room
Not Placed,3144,PATIENT ED,Not Placed,NON-CLINICAL,Office
Not Placed,3152,SOILED LINEN/ TRASH,Not Placed,NON-CLINICAL,Storage - Soiled
Not Placed,3141,CLEAN WORK,Not Placed,NON-CLINICAL,Storage - Clean
Not Placed,3150,SUB WAIT,Not Placed,CLINICAL,Waiting Area
Not Placed,3176,SLIT LAMP,Not Placed,CLINICAL,Exam Room
Not Placed,3177,OCT,Not Placed,CLINICAL,Exam Room
Not Placed,3178,OCT,Not Placed,CLINICAL,Exam Room
Not Placed,3180,FUNDUS,Not Placed,CLINICAL,Exam Room
Not Placed,3181,WRKRM,Not Placed,NON-CLINICAL,Work Area
Not Placed,3104,VIS FLDS,Not Placed,CLINICAL,Exam Room
Not Placed,3105,VIS FLDS,Not Placed,CLINICAL,Exam Room
Not Placed,3106,VIS FLDS,Not Placed,CLINICAL,Exam Room
Not Placed,3107,OPTOS,Not Placed,CLINICAL,Exam Room
Not Placed,3108,EQUIPMENT STORAGE,Not Placed,NON-CLINICAL,Storage - Equipment
Not Placed,3139,TREATMENT,Not Placed,CLINICAL,Treatment Room
Not Placed,3140,TREATMENT,Not Placed,CLINICAL,Treatment Room
Not Placed,3138,MED / CLEAN,Not Placed,CLINICAL,Medication Room
Not Placed,3153,SOILED HOLDING,Not Placed,CLINICAL,Sterile Processing
Not Placed,3137,CLEAN SUPPLY,Not Placed,NON-CLINICAL,Storage - Clean
Not Placed,3154,YAG LASER,Not Placed,CLINICAL,Exam Room
Not Placed,3155,ARGON LASER,Not Placed,CLINICAL,Exam Room
Not Placed,3156,EYE TRACE/PENT.,Not Placed,CLINICAL,Exam Room
Not Placed,3200,SHELL SPACE,Not Placed,NON-CLINICAL,Shell Space
Not Placed,2111,QUIET,Not Placed,CLINICAL,Exam Room
Not Placed,2253,SUB WAIT,Not Placed,CLINICAL,Waiting Area
Not Placed,1217,CASE CARTS,Not Placed,NON-CLINICAL,Storage - General
Not Placed,1410,SUPERVISOR OFFICE,Not Placed,NON-CLINICAL,Office
Not Placed,1506C,PALLET JACK ALCOVE,Not Placed,NON-CLINICAL,Storage - General
Not Placed,1507A,CHEM STOR,Not Placed,NON-CLINICAL,Storage - Chemicals
Not Placed,1407,EVS CLEAN,Not Placed,NON-CLINICAL,Storage - Housekeeping
Not Placed,3110,SUB WAIT,Not Placed,CLINICAL,Waiting Area
Not Placed,x,FUTURE SCRUB,Not Placed,NON-CLINICAL,Shell Space
Not Placed,1212,CRASH CART ALCOVE,Not Placed,NON-CLINICAL,Storage - General
Not Placed,3157,SUB WAIT,Not Placed,CLINICAL,Waiting Area
Not Placed,3134,TRIAGE,Not Placed,CLINICAL,Exam Room
Not Placed,C3036,CORRIDOR,Not Placed,SERV,Circulation / Corridor
Not Placed,3162,SUB WAIT,Not Placed,CLINICAL,Waiting Area
Not Placed,3002,MECH,Not Placed,SERV,Mechanical Room
Not Placed,3117,MECH,Not Placed,SERV,Mechanical Room
Not Placed,3129,MECH,Not Placed,SERV,Mechanical Room
Not Placed,3158,MECH,Not Placed,SERV,Mechanical Room
Not Placed,3149,MECH,Not Placed,SERV,Mechanical Room
Not Placed,3148,MECH,Not Placed,SERV,Mechanical Room
Not Placed,2108B,AUTOREFRACTOR,Not Placed,CLINICAL,Exam Room
Not Placed,03ST01,STAIR 1,Not Placed,VERT,Stairs
Not Placed,C3509,CORRIDOR,Not Placed,SERV,Circulation / Corridor
Not Placed,C3511,CORRIDOR,Not Placed,SERV,Circulation / Corridor
Not Placed,C3513,CORRIDOR,Not Placed,SERV,Circulation / Corridor
Not Placed,C3512,CORRIDOR,Not Placed,SERV,Circulation / Corridor
Not Placed,C3510,CORRIDOR,Not Placed,SERV,Circulation / Corridor
Not Placed,C3035,CORRIDOR,Not Placed,SERV,Circulation / Corridor
Not Placed,C2288,CORRIDOR,Not Placed,SERV,Circulation / Corridor
Not Placed,1207,ALCOVE,Not Placed,NON-CLINICAL,Storage - General
Not Placed,C1228,CORRIDOR,Not Placed,SERV,Circulation / Corridor
Not Placed,02VP06,OPEN TO ABOVE,Not Placed,VERT,Open
Not Placed,4306,OPEN COLLAB,Not Placed,NON-CLINICAL,Work station
Not Placed,4303,OPEN COLLAB,Not Placed,NON-CLINICAL,Work station
Not Placed,1308,VESTIBULE,Not Placed,SERV,Circulation / Corridor
Not Placed,3143.2,MECH,Not Placed,SERV,Mechanical Room
Not Placed,x,SHAFT,Not Placed,VERT,"Shaft, Duct"
Not Placed,1216.2,SHAFT,Not Placed,VERT,"Shaft, Duct"
Not Placed,1214.1,SHAFT,Not Placed,VERT,"Shaft, Duct"
Not Placed,5100,BOILER ROOM,Not Placed,,
Not Placed,1309,STORAGE,Not Placed,,
Not Placed,1320,SOILED,Not Placed,,
Not Placed,1325,W.C. STOR.,Not Placed,,
Not Placed,1327,STORAGE?,Not Placed,,
Not Placed,1330,ST TLT,Not Placed,,
Not Placed,1344,MEDS,Not Placed,,
Not Placed,1366,PREP CORRIDOR,Not Placed,,
Not Placed,1384,ALCOVE,Not Placed,,
Not Placed,1387,WC STORAGE,Not Placed,,
Not Placed,1389,PT TLT,Not Placed,,
Not Placed,1390,ALCOVE,Not Placed,,
Not Placed,2290,WHEELCHAIRS,Not Placed,,
Exist. 90-3 - Level 0,0001,MED GAS MANIFOLD ROOM,219,SERV,Mechanical Room
90-3 -Level 1,1306,WATER PUMP,361,SERV,Water Treatment System
90-3 -Level 1,1304,EMERGENCY ELECTRICAL,153,SERV,Electrical Room
90-3 -Level 1,1303,MAIN ELECTRICAL,470,SERV,Electrical Room
90-3 -Level 1,01EL03,STAFF ELEV,88,VERT,Elevator
90-3 -Level 1,1023,TELECOM,92,SERV,Information Services Closet
90-3 -Level 1,1022,ELECTRICAL,100,SERV,Electrical Room
90-3 -Level 1,1020,CORRIDOR,95,SERV,Circulation / Corridor
90-3 -Level 1,01ST04,STAIR 4,231,VERT,Stairs
90-3 -Level 1,1021,JAN.,45,NON-CLINICAL,Storage - Clean
90-3 -Level 1,1216,O.R.,607,CLINICAL,Operating Room
90-3 -Level 1,1221,O.R.,607,CLINICAL,Operating Room
90-3 -Level 1,01ST03,STAIR 3,272,VERT,Stairs
90-3 -Level 1,1012,MEN'S TOILET,287,SERV,Public Restroom
90-3 -Level 1,1013,WOMEN'S TOILET,288,SERV,Public Restroom
90-3 -Level 1,1014,JAN.,47,NON-CLINICAL,Storage - Clean
90-3 -Level 1,1015,ELECTRICAL,103,SERV,Electrical Room
90-3 -Level 1,1602,STAFF LOUNGE,906,NON-CLINICAL,Lounge - Staff
90-3 -Level 1,1601,LACTATION,77,NON-CLINICAL,Mother's Room
90-3 -Level 1,1016,TELECOM,86,SERV,Information Services Closet
90-3 -Level 1,1010,MEN'S SHOWERS,310,SERV,Locker Room
90-3 -Level 1,1011,WOMEN'S SHOWERS,305,SERV,Locker Room
90-3 -Level 1,C1149,PREP CORRIDOR,246,SERV,Circulation / Corridor
90-3 -Level 1,1301,MECHANICAL,2174,SERV,Mechanical Room
90-3 -Level 1,C1008,2 HOUR FIRE RATED EXIT PASSAGEWAY,840,SERV,Circulation / Corridor
90-3 -Level 1,1000,EAST ATRIUM,1230,VERT,Open
90-3 -Level 1,C1004,2 HOUR FIRE RATED EXIT PASSAGEWAY,318,SERV,Circulation / Corridor
90-3 -Level 1,C1152,2 HOUR RATED EXIT PASSAGEWAY,275,SERV,Circulation / Corridor
90-3 -Level 1,C1002,CORRIDOR,826,SERV,Circulation / Corridor
90-3 -Level 1,C1227,CORRIDOR,361,SERV,Circulation / Corridor
90-3 -Level 1,01EL04,SERVICE ELEVATOR,96,VERT,Elevator
90-3 -Level 1,1514,VESTIBULE,90,SERV,Circulation / Corridor
90-3 -Level 1,1411,STERILIZATION,1794,CLINICAL,Sterile Processing
90-3 -Level 1,1142,WC,15,NON-CLINICAL,Storage - General
90-3 -Level 1,C1006,CORRIDOR,1465,SERV,Circulation / Corridor
90-3 -Level 1,1122,OFFICE,158,NON-CLINICAL,Office
90-3 -Level 1,1222,O.R.,593,CLINICAL,Operating Room
90-3 -Level 1,C1229,SEMI- RESTRICTED CORRIDOR,858,SERV,Circulation / Corridor
90-3 -Level 1,1223,CONTROL DESK,130,CLINICAL,Anesthesia Workroom
90-3 -Level 1,1209,CASE CARTS,154,CLINICAL,Anesthesia Workroom
90-3 -Level 1,1204,SOILED WORK,233,NON-CLINICAL,Storage - Soiled
90-3 -Level 1,1206,EQUIPMENT STORAGE,298,NON-CLINICAL,Storage - Clean
90-3 -Level 1,1226,ANESTHESIA SUPPLY & CLEAN SUPPLY,662,NON-CLINICAL,Shell Space
90-3 -Level 1,1227,LENS STORAGE,199,CLINICAL,Control Room
90-3 -Level 1,1202T,WOMEN'S TLT,140,NON-CLINICAL,Staff Restroom
90-3 -Level 1,1202,WOMEN'S LOCKERS,449,NON-CLINICAL,Locker Room
90-3 -Level 1,1201,MEN'S LOCKERS,271,NON-CLINICAL,Locker Room
90-3 -Level 1,1201T,MEN'S TLT,136,NON-CLINICAL,Staff Restroom
90-3 -Level 1,1123,OFFICE,160,NON-CLINICAL,Office
90-3 -Level 1,1121,WOW ALCOVE,203,CLINICAL,Pre-Post Operation
90-3 -Level 1,1120,P/R (12),120,CLINICAL,Pre-Post Operation
90-3 -Level 1,1119,P/R (11),116,CLINICAL,Pre-Post Operation
90-3 -Level 1,1118,P/R (10),116,CLINICAL,Pre-Post Operation
90-3 -Level 1,1117,P/R (9),116,CLINICAL,Pre-Post Operation
90-3 -Level 1,1116,P/R (8),116,CLINICAL,Pre-Post Operation
90-3 -Level 1,1115,P/R (7),120,CLINICAL,Pre-Post Operation
90-3 -Level 1,1125,P/R (13),95,CLINICAL,Pre-Post Operation
90-3 -Level 1,1127,P/R (14),96,CLINICAL,Pre-Post Operation
90-3 -Level 1,1147,TEAM STATION,301,CLINICAL,Nurse Station
90-3 -Level 1,1126,STAFF TLT,62,SERV,Staff Restroom
90-3 -Level 1,1146,TLT PT,63,CLINICAL,Patient Room Restroom
90-3 -Level 1,1145,SOILED HOLDING,145,NON-CLINICAL,Storage - Soiled
90-3 -Level 1,1144,CLEAN SUPPLY,161,NON-CLINICAL,Storage - Clean
90-3 -Level 1,1130,MED,135,CLINICAL,Medication Room
90-3 -Level 1,1140,P/R (20),133,CLINICAL,Pre-Post Operation
90-3 -Level 1,1141,P/R (19),129,CLINICAL,Pre-Post Operation
90-3 -Level 1,1133,NOURISH,37,NON-CLINICAL,Nourishment Center
90-3 -Level 1,1134,P/R (16),139,CLINICAL,Pre-Post Operation
90-3 -Level 1,1135,P/R (17),141,CLINICAL,Pre-Post Operation
90-3 -Level 1,1136,P/R (18),138,CLINICAL,Pre-Post Operation
90-3 -Level 1,1139,TEAM STATION,346,CLINICAL,Nurse Station
90-3 -Level 1,1114,P/R (6),122,CLINICAL,Pre-Post Operation
90-3 -Level 1,1113,P/R (5),120,CLINICAL,Pre-Post Operation
90-3 -Level 1,1112,P/R (4),118,CLINICAL,Pre-Post Operation
90-3 -Level 1,1111,P/R (3),120,CLINICAL,Pre-Post Operation
90-3 -Level 1,1110,P/R (2),110,CLINICAL,Pre-Post Operation
90-3 -Level 1,1109,P/R (1),124,CLINICAL,Pre-Post Operation
90-3 -Level 1,1108,PATIENT TOILET,73,CLINICAL,Patient Room Restroom
90-3 -Level 1,1128,EQUIPMENT STORAGE,167,NON-CLINICAL,Storage - Equipment
90-3 -Level 1,1302,EMERGENCY ELECTRICAL,601,SERV,Electrical Room
90-3 -Level 1,1101,WAITING AREA,515,CLINICAL,Waiting Area
90-3 -Level 1,1402,SPD DROP OFF,170,CLINICAL,Ante Room
90-3 -Level 1,1401,RO WATER,190,CLINICAL,Sterile Processing
90-3 -Level 1,1403,EVS DIRTY,86,NON-CLINICAL,Storage - Housekeeping
90-3 -Level 1,1414,CLEAN WORK PREP/ PACK,555,CLINICAL,Sterile Processing
90-3 -Level 1,1413,HOLDING AREA,306,CLINICAL,Sterile Processing
90-3 -Level 1,1406,SPD PICK UP,144,CLINICAL,Ante Room
90-3 -Level 1,1408,INSTRUMENT STORAGE,471,NON-CLINICAL,Storage - Clean
90-3 -Level 1,1505,TLT,52,SERV,Public Restroom
90-3 -Level 1,1506,BUILDING MATERIAL MANAGEMENT,967,NON-CLINICAL,Storage - General
90-3 -Level 1,1508,SECURITY BASE,253,NON-CLINICAL,Security Station
90-3 -Level 1,1509,MAIN IT / MDF ROOM,252,SERV,Info Svcs - MDF Closet
90-3 -Level 1,1513,MED GAS STORAGE,73,NON-CLINICAL,Storage - Medical Gas
90-3 -Level 1,1512,OPEN FOR ELEV ACCESS & STAGING,208,NON-CLINICAL,Storage - General
90-3 -Level 1,1712,P/R 4,108,SERV,Public Restroom
90-3 -Level 1,1501,LOCAL ELECTRICAL,97,SERV,Electrical Room
90-3 -Level 1,1502,CLEAN LINEN,207,NON-CLINICAL,Storage - Clean
90-3 -Level 1,1503,SOILED LINEN,200,NON-CLINICAL,Storage - Soiled
90-3 -Level 1,01ST02,STAIR 2,236,VERT,Stairs
90-3 -Level 1,1129,P/R (15),95,CLINICAL,Pre-Post Operation
90-3 -Level 1,1208,OMNICELL,202,NON-CLINICAL,Storage - Equipment
90-3 -Level 1,1224,BLKT/FLUID WRM,35,NON-CLINICAL,Storage - General
90-3 -Level 1,1132,PPE CABINET,10,NON-CLINICAL,Storage - General
90-3 -Level 1,1131,BLANKET WARMER,10,NON-CLINICAL,Storage - General
90-3 -Level 1,1404,DECONTAMINATION,980,CLINICAL,Decontamination
90-3 -Level 1,1409,SPD CLEAN SUPPLY,108,NON-CLINICAL,Storage - Clean
90-3 -Level 1,1511,BIOHAZARD WASTE,93,NON-CLINICAL,Storage - Soiled
90-3 -Level 1,1504,TRASH/RECYCLE HOLDING,187,NON-CLINICAL,Storage - Soiled
90-3 -Level 1,1506A,WORKSTATION, DISPATCH,110,NON-CLINICAL,Work Station
90-3 -Level 1,1506B,OFFICE EQUIPMENT ALCOVE,27,NON-CLINICAL,Storage - Office Supply
